Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Passing Att,Creativity Att,Crossing Att,Dribbling Att,Shooting Att,Defending Att,Winger Rating,Progressive passes per 90,"Accurate progressive passes, %",Passes per 90,"Accurate passes, %",Key passes per 90,xA per 90,Deep completions per 90,"Accurate crosses, %",Crosses per 90,"Successful dribbles, %",Dribbles per 90,Accelerations per 90,Non-penalty goals per 90,xG per 90,"Shots on target, %","Defensive duels won, %",Successful defensive actions per 90,Defensive duels per 90,"Aerial duels won, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
H. Tangen,Notts County,Notts County,AMF,"AMF, RCMF, LCMF",England League Two 2025-26,25.0,750000,31/12/2027,yes,515,63.22,41.74,0.73,38.58,15.81,84.22,45.57,3.32,42.11,32.33,82.16,0.35,0.02,1.22,0.0,0.35,37.5,1.4,0.17,0.0,0.04,25.0,64.1,8.74,6.82,28.57,3.67,0.0,0.0,0.0,0.0
T. McDermott,Shrewsbury Town,Shrewsbury Town,AMF,"AMF, RCMF",England League Two 2025-26,20.0,0,,yes,1876,50.6,41.19,17.73,62.22,19.25,72.87,45.56,4.65,59.79,24.37,70.47,0.38,0.03,1.06,10.0,0.96,58.33,2.3,0.29,0.05,0.11,10.34,63.2,7.34,6.0,27.16,3.89,0.14,0.1,0.0,0.05
D. Kyerewaa,Reading,Reading,LAMF,"LAMF, RWF, LWF",England League One 2025-26,24.0,250000,30/06/2027,no,2484,55.06,57.54,45.66,47.85,36.77,23.81,44.95,2.86,63.29,22.86,80.67,0.51,0.1,1.2,33.33,1.09,44.12,2.46,0.11,0.11,0.18,20.51,46.3,3.84,3.91,43.06,2.61,0.0,0.0,0.0,0.0
C. Whitely,Bromley,Bromley,RW,"RW, RAMF, LCMF",England League Two 2025-26,34.0,0,30/06/2026,no,2891,42.71,36.66,43.81,49.13,36.32,71.44,43.65,4.51,60.69,22.1,66.62,0.37,0.08,0.56,26.32,1.77,52.38,1.31,0.09,0.09,0.09,38.46,69.92,6.79,4.14,37.86,4.36,0.0,0.0,0.0,0.0
K. Payne,Oldham Athletic,Oldham Athletic,AMF,"AMF, LCMF",England League Two 2025-26,21.0,0,31/05/2026,no,1944,46.22,26.84,52.04,51.4,28.86,74.23,43.52,4.63,64.0,21.57,68.67,0.23,0.05,0.56,39.13,1.06,58.82,0.79,0.05,0.05,0.12,26.92,64.46,7.64,5.6,41.18,3.94,0.05,0.05,0.0,0.0
O. Lunt,Crewe Alexandra,Crewe Alexandra,AMF,"AMF, RDMF",England League Two 2025-26,21.0,0,30/06/2026,no,2329,39.55,32.38,58.48,51.13,26.28,77.76,43.5,3.48,53.33,21.25,70.73,0.31,0.07,0.54,47.37,0.73,55.17,1.12,0.12,0.08,0.06,26.32,58.85,8.35,7.42,30.61,3.79,0.0,0.0,0.0,0.0
T. Harris,Luton Town,Tranmere Rovers,AMF,"AMF, CF, RAMF",England League Two 2025-26,20.0,0,,no,531,30.01,40.73,35.47,84.51,47.04,52.24,43.1,2.37,50.0,18.81,70.27,0.34,0.05,1.02,14.29,2.37,78.95,3.22,0.34,0.17,0.18,28.57,59.38,4.58,5.42,13.64,3.73,0.0,0.0,0.0,0.0
C. Wellens,Leyton Orient,Leyton Orient,AMF,AMF,England League One 2025-26,23.0,0,30/06/2027,no,2173,44.22,44.77,47.83,42.79,33.8,57.9,42.38,4.14,66.0,22.95,66.43,0.41,0.12,0.66,26.42,2.2,47.83,0.95,0.04,0.08,0.11,32.26,65.66,5.18,4.1,12.71,4.89,1.33,0.21,0.0,2.77
V. Yoganathan,Barnsley,Barnsley,RAMF,"RAMF, RDMF, AMF",England League One 2025-26,20.0,0,30/06/2028,no,1544,59.51,11.08,37.21,46.19,39.99,71.56,42.32,2.8,72.92,26.52,77.36,0.12,0.01,0.23,30.0,0.58,47.62,1.22,0.17,0.17,0.13,23.53,63.54,7.34,5.6,54.84,5.42,0.0,0.0,0.0,0.0
G. Hall,Port Vale,Port Vale,RW,"RW, RCMF, RWB",England League One 2025-26,21.0,0,30/06/2028,no,2144,20.56,51.38,62.16,62.42,24.78,71.65,41.98,2.18,59.62,16.25,62.79,0.5,0.17,0.5,36.07,2.56,48.72,3.27,0.5,0.04,0.09,26.09,60.0,7.35,6.72,23.3,4.32,0.38,0.08,0.0,0.5
C. Agius,Crewe Alexandra,Crewe Alexandra,LAMF,LAMF,England League Two 2025-26,20.0,0,,no,3157,45.95,27.95,33.48,55.23,52.6,59.59,41.91,3.71,55.38,20.24,75.77,0.26,0.07,0.43,25.0,0.8,60.53,1.08,0.11,0.17,0.15,44.12,59.3,5.96,5.67,19.0,2.85,0.14,0.0,0.0,0.09
F. Onyedinma,Wycombe Wanderers,Wycombe Wanderers,RAMF,"RAMF, CF, LAMF",England League One 2025-26,29.0,500000,,no,3511,34.03,39.25,51.48,60.36,74.28,36.44,41.82,1.67,56.92,17.87,74.75,0.46,0.1,0.36,32.86,1.79,55.36,2.87,0.18,0.26,0.24,53.13,52.35,4.31,4.36,41.73,7.13,0.0,0.0,0.0,0.0
B. Thompson,Bromley,Bromley,AMF,"AMF, RCMF",England League Two 2025-26,30.0,275000,,no,1306,37.14,31.03,15.19,45.76,93.9,66.37,41.69,3.45,66.0,20.33,65.76,0.21,0.05,0.83,5.56,1.24,46.15,1.79,0.07,0.48,0.32,35.14,72.92,5.58,3.31,43.14,7.03,0.21,0.07,100.0,0.34
O. Hammond,Oldham Athletic,Oldham Athletic,AMF,"AMF, CF, RCMF",England League Two 2025-26,23.0,0,30/06/2027,no,641,60.78,48.98,40.64,44.65,34.08,18.58,41.54,5.05,63.89,30.19,69.77,0.28,0.11,1.26,23.08,1.83,50.0,1.12,0.0,0.0,0.18,36.36,45.83,3.37,3.37,26.32,2.67,0.0,0.0,0.0,0.0
Z. Obiero,Tranmere Rovers,Tranmere Rovers,AMF,"AMF, LCMF",England League Two 2025-26,21.0,0,30/06/2028,yes,958,54.99,11.71,18.01,63.34,56.82,61.07,41.54,3.19,58.82,24.8,78.79,0.09,0.02,0.28,11.11,0.85,50.0,2.25,0.75,0.19,0.14,50.0,60.32,5.73,5.92,24.32,3.48,0.0,0.0,0.0,0.09
A. Higgins,Exeter City,Exeter City,AMF,"AMF, LWB, LWF",England League One 2025-26,20.0,0,30/06/2026,yes,1160,47.9,25.13,68.12,64.95,37.0,35.22,41.45,3.1,62.5,20.79,76.49,0.23,0.05,0.47,40.0,2.72,50.0,4.34,0.31,0.08,0.13,35.0,53.7,3.8,4.19,22.73,3.41,0.0,0.0,0.0,0.0
I. Fletcher,Barrow,Barrow,AMF,"AMF, CF, LWF",England League Two 2025-26,23.0,0,30/06/2027,no,1530,28.04,42.85,32.65,51.26,92.2,48.61,40.64,3.88,54.55,21.47,59.18,0.35,0.13,0.65,22.22,1.06,55.0,1.18,0.12,0.35,0.36,50.0,57.32,5.0,4.82,32.18,11.88,0.06,0.06,0.0,0.0
O. Dale,Plymouth Argyle,Plymouth Argyle,LW,"LW, RW, LAMF",England League One 2025-26,27.0,450000,31/05/2026,yes,1530,33.97,43.0,49.69,55.79,27.54,63.1,40.47,3.41,62.07,21.65,63.04,0.47,0.09,0.59,20.75,3.12,46.81,2.76,0.35,0.06,0.08,29.17,51.92,8.53,6.12,45.45,2.59,0.53,0.12,0.0,1.12
I. Davies,Cardiff City,Cardiff City,LAMF,"LAMF, RAMF",England League One 2025-26,24.0,1500000,30/06/2029,no,925,29.49,21.94,38.43,80.34,72.23,50.05,39.65,1.36,42.86,19.36,74.87,0.1,0.04,0.68,14.81,2.63,54.9,4.96,0.78,0.39,0.11,46.15,59.62,4.38,5.06,23.26,4.18,0.0,0.0,0.0,0.29
J. Roberts,Stevenage,Stevenage,RAMF,"RAMF, LWB",England League One 2025-26,32.0,300000,,no,2070,40.51,32.26,46.13,56.19,37.55,54.79,39.25,4.13,69.47,21.96,63.37,0.22,0.05,0.87,20.97,2.7,55.56,1.96,0.17,0.09,0.1,39.13,59.78,6.39,4.0,32.24,7.96,0.04,0.0,0.0,0.0
I. Sinclair,Accrington Stanley,Accrington Stanley,AMF,"AMF, RCMF",England League Two 2025-26,24.0,0,,no,3064,39.95,32.39,36.02,57.58,37.21,61.32,39.25,3.0,63.73,22.09,68.35,0.29,0.07,0.59,23.81,1.23,62.79,1.26,0.09,0.12,0.08,36.11,64.71,6.32,3.99,41.38,6.81,0.0,0.0,0.0,0.0
D. Kemp,Stevenage,Stevenage,AMF,AMF,England League One 2025-26,27.0,300000,30/06/2028,no,2614,49.26,36.63,47.26,53.3,36.63,33.76,39.13,2.72,75.95,19.8,75.65,0.34,0.07,0.69,29.41,1.76,50.85,2.03,0.21,0.14,0.13,22.86,52.17,4.17,3.96,15.38,2.69,0.1,0.0,0.0,0.14
M. Dickov,Tranmere Rovers,Mansfield Town,LAMF,"LAMF, RW, RAMF",England League One 2025-26,23.0,0,30/06/2026,yes,487,43.9,31.17,53.84,44.11,18.44,68.27,39.03,4.62,68.0,20.51,66.67,0.18,0.08,0.74,28.57,2.59,36.36,2.03,0.37,0.0,0.02,33.33,67.86,5.73,5.17,17.65,3.14,0.0,0.0,0.0,0.18
C. Kavanagh,Oldham Athletic,Bradford City,AMF,"AMF, LW",England League One 2025-26,22.0,225000,30/06/2028,no,524,40.97,32.32,38.66,39.53,47.42,67.96,39.02,2.06,83.33,17.35,71.29,0.34,0.06,0.52,25.0,1.37,31.25,2.75,0.17,0.0,0.25,50.0,67.86,6.01,4.81,17.65,5.84,0.0,0.0,0.0,0.0
C. Campbell,Stevenage,Stevenage,LAMF,"LAMF, AMF",England League One 2025-26,23.0,900000,30/06/2026,no,1302,38.39,16.52,47.35,67.2,66.73,46.13,38.59,2.42,62.86,19.7,71.93,0.14,0.02,0.41,27.59,2.0,59.32,4.08,0.07,0.28,0.15,50.0,60.71,4.35,3.87,44.74,2.63,0.0,0.0,0.0,0.07
B. Bodin,Swindon Town,Swindon Town,RAMF,"RAMF, RW, RWF",England League Two 2025-26,34.0,150000,30/06/2026,no,950,44.39,27.32,17.42,48.36,75.59,50.63,38.09,2.84,50.0,24.06,74.8,0.19,0.07,0.57,9.09,1.04,53.85,1.23,0.0,0.38,0.17,44.44,72.73,3.41,2.08,25.76,6.25,0.09,0.0,0.0,0.28
C. Stead,Barnet,Barnet,AMF,"AMF, CF",England League Two 2025-26,26.0,0,30/06/2026,no,2453,36.74,31.69,17.83,41.33,63.57,73.27,37.68,2.2,56.67,19.67,73.32,0.22,0.05,0.84,13.33,0.55,41.67,1.32,0.15,0.22,0.22,43.75,68.31,6.64,5.21,27.69,7.15,0.0,0.0,0.0,0.15
B. Krauhaus,Bromley,Bromley,AMF,"AMF, LCMF, RCMF",England League Two 2025-26,21.0,0,30/06/2027,no,1918,34.05,20.6,35.81,54.78,26.53,80.83,34.69,1.88,70.0,16.24,71.68,0.19,0.05,0.33,26.32,0.89,53.66,1.92,0.19,0.05,0.13,20.83,63.25,7.32,7.79,28.57,3.28,0.0,0.0,0.0,0.0
A. Odoh,Peterborough United,Peterborough United,LAMF,"LAMF, LW, RAMF",England League One 2025-26,25.0,275000,30/06/2027,no,669,46.33,25.81,21.73,68.29,13.17,53.53,34.55,2.96,59.09,23.0,74.27,0.13,0.04,0.81,8.33,1.61,51.52,4.44,0.4,0.0,0.04,20.0,68.18,4.57,2.96,27.27,1.48,0.0,0.0,0.0,0.13
L. Cirino,Gillingham,Gillingham,LAMF,"LAMF, LWB, LB",England League Two 2025-26,23.0,0,30/06/2026,no,492,13.39,22.54,65.38,59.07,47.92,77.68,33.78,3.66,45.0,19.21,53.33,0.18,0.13,0.0,31.58,3.48,37.5,5.85,0.18,0.18,0.15,33.33,57.14,8.6,7.68,57.14,3.84,0.0,0.0,0.0,0.91
C. McAleny,Fylde,Harrogate Town,AMF,"AMF, LAMF",England League Two 2025-26,33.0,100000,30/06/2026,yes,980,29.66,17.28,27.57,76.0,56.39,52.04,33.09,1.47,68.75,16.35,69.66,0.18,0.05,0.18,18.18,1.01,54.29,3.21,1.01,0.18,0.27,29.41,61.54,4.5,4.78,25.0,2.57,0.0,0.0,0.0,0.09
A. Scully,Shrewsbury Town,Shrewsbury Town,AMF,"AMF, CF, LWF",England League Two 2025-26,26.0,200000,30/06/2026,no,1810,34.66,36.03,19.15,61.65,42.07,45.7,32.88,2.83,61.4,20.69,66.83,0.3,0.08,0.7,12.5,0.8,54.55,1.64,0.6,0.15,0.11,34.62,65.63,3.43,3.18,16.22,1.84,0.3,0.15,66.67,0.0
J. McKiernan,Burton Albion,Burton Albion,AMF,"AMF, RCMF, LCMF",England League One 2025-26,24.0,0,30/06/2028,yes,1439,47.48,19.13,46.02,45.84,24.46,50.49,32.44,4.07,64.62,20.51,72.56,0.19,0.04,0.31,33.33,1.13,44.83,1.81,0.13,0.06,0.12,16.67,50.54,6.5,5.82,42.19,4.0,0.06,0.0,0.0,0.13
C. McGeehan,Northampton Town,Northampton Town,RWF,"RWF, AMF, RW",England League One 2025-26,31.0,375000,30/06/2026,no,2479,41.63,10.96,50.39,47.54,79.03,31.26,32.22,2.32,68.75,17.83,75.15,0.07,0.02,0.29,41.18,0.62,50.0,1.16,0.15,0.22,0.38,46.43,52.22,4.28,3.27,34.88,6.24,0.07,0.07,50.0,0.0
G. Maris,Mansfield Town,Mansfield Town,AMF,"AMF, DMF",England League One 2025-26,29.0,300000,30/06/2026,no,556,64.74,30.94,3.45,53.72,27.22,17.69,32.13,3.4,47.62,33.99,79.52,0.16,0.16,0.32,0.0,0.65,55.56,1.46,0.16,0.0,0.2,20.0,42.86,4.05,3.4,31.58,3.08,0.0,0.0,0.0,1.78
M. Spellman,Newport County,Newport County,RW,"RW, RCMF, RAMF",England League Two 2025-26,23.0,0,30/06/2026,no,1808,26.68,19.92,37.02,58.57,61.5,58.0,32.03,3.14,49.21,16.23,68.1,0.15,0.04,0.45,25.0,1.19,49.15,2.94,0.35,0.25,0.16,44.12,54.55,6.72,6.02,30.85,4.68,0.05,0.0,0.0,0.25
S. Solomon,Tranmere Rovers,Tranmere Rovers,AMF,"AMF, RW, DMF",England League Two 2025-26,25.0,0,30/06/2026,no,497,35.42,28.46,62.99,36.33,25.46,55.62,31.41,4.53,44.0,26.98,60.4,0.18,0.09,0.54,38.46,2.35,33.33,1.63,0.18,0.0,0.1,33.33,53.57,7.42,5.07,23.81,3.8,1.63,0.18,0.0,2.54
J. Lankester,Crewe Alexandra,Crewe Alexandra,RAMF,"RAMF, RW",England League Two 2025-26,26.0,325000,30/06/2027,no,482,46.03,41.51,27.45,53.19,28.1,20.33,30.97,4.67,68.0,23.15,65.32,0.37,0.06,0.93,8.33,2.24,50.0,2.24,0.19,0.0,0.21,20.0,38.24,3.17,6.35,16.67,2.24,0.19,0.19,0.0,0.0
H. Adelakun,Doncaster Rovers,Doncaster Rovers,LW,"LW, CF, LAMF",England League One 2025-26,29.0,175000,30/06/2027,no,940,39.74,34.79,39.33,58.64,26.94,15.21,27.42,3.54,59.46,22.69,67.09,0.38,0.09,0.38,23.53,1.63,60.87,2.2,0.0,0.1,0.09,18.75,43.24,3.26,3.54,14.29,1.34,0.1,0.1,0.0,0.0
R. Williams,Reading,Reading,RAMF,"RAMF, LAMF, LWB",England League One 2025-26,29.0,450000,30/06/2027,no,1076,17.76,21.46,50.93,65.4,41.64,49.49,26.63,3.85,43.48,17.73,58.49,0.25,0.06,0.17,26.67,2.51,58.62,2.43,0.42,0.17,0.09,33.33,54.24,6.02,4.93,29.55,3.68,0.0,0.0,0.0,0.0
K. Lolos,Crawley Town,Crawley Town,AMF,"AMF, CF",England League Two 2025-26,25.0,0,,yes,852,37.21,18.2,19.6,57.82,42.75,37.74,25.39,3.17,50.0,22.5,69.48,0.11,0.01,0.63,12.5,0.85,55.17,3.06,0.0,0.11,0.23,23.53,58.33,4.54,2.54,26.32,2.01,0.32,0.21,50.0,0.21
W. Dickson,Chesterfield,Chesterfield,AMF,"AMF, CF, LAMF",England League Two 2025-26,21.0,0,30/06/2027,no,665,32.75,28.04,46.84,35.75,92.32,0.0,24.28,1.35,50.0,15.02,80.18,0.27,0.07,0.41,33.33,1.22,28.57,0.95,0.54,0.41,0.25,57.14,36.84,2.84,2.57,20.0,2.71,0.0,0.0,0.0,0.0
B. Andrésson,Stockport County,Stockport County,AMF,"AMF, CF, RWF",England League One 2025-26,20.0,0,30/06/2028,no,712,21.55,23.52,4.45,56.91,84.29,38.17,23.59,1.52,50.0,14.66,70.69,0.0,0.04,1.01,0.0,0.76,62.5,1.01,0.13,0.25,0.4,47.37,59.09,4.17,2.78,35.0,5.06,0.0,0.0,0.0,0.0
K. Simon-Swyer,Northampton Town,Northampton Town,LWF,"LWF, RWB, AMF",England League One 2025-26,23.0,250000,30/06/2027,no,1399,30.2,9.63,37.82,68.45,15.45,50.84,23.42,2.57,60.0,18.59,66.78,0.0,0.01,0.45,15.79,2.44,51.95,4.95,0.26,0.0,0.08,17.65,54.43,6.11,5.08,35.63,5.6,0.0,0.0,0.0,0.0
P. Lane,Reading,Reading,LAMF,"LAMF, RWF, LW",England League One 2025-26,25.0,0,30/06/2028,no,1814,32.96,16.93,48.9,46.78,37.43,33.03,22.88,3.27,57.58,20.59,65.3,0.15,0.03,0.35,27.91,2.13,50.0,1.39,0.05,0.1,0.13,32.0,53.03,4.42,3.27,25.76,3.27,0.0,0.0,0.0,0.05
D. Watmore,Rotherham United,Rotherham United,AMF,"AMF, CF, LAMF",England League One 2025-26,32.0,900000,30/06/2026,no,636,45.14,27.18,60.04,23.54,7.02,15.78,19.02,1.56,63.64,20.8,78.91,0.42,0.02,0.28,50.0,0.57,20.0,1.42,0.14,0.0,0.09,0.0,55.56,1.84,1.27,18.18,3.11,0.0,0.0,0.0,0.0
R. Sotiriou,Hapoel Jerusalem,Bristol Rovers,AMF,"AMF, CF, LW",England League Two 2025-26,25.0,500000,30/06/2028,no,739,24.43,21.66,21.65,41.8,27.22,49.26,16.7,2.19,44.44,17.29,69.72,0.12,0.02,0.73,14.29,0.85,34.78,2.8,0.12,0.0,0.14,30.0,66.67,3.78,3.29,32.35,4.14,0.0,0.0,0.0,0.0
H. Bettoni,Wigan Athletic,Wigan Athletic,AMF,"AMF, CF",England League One 2025-26,18.0,0,,no,738,0.0,20.04,20.1,63.26,76.14,14.36,8.42,1.71,42.86,13.29,55.96,0.24,0.06,0.12,10.0,1.22,63.16,2.32,0.12,0.37,0.24,35.71,50.0,2.32,2.2,28.57,3.41,1.46,0.24,100.0,1.83
W. Keane,Reading,Reading,AMF,"AMF, CF, RCMF",England League One 2025-26,33.0,900000,30/06/2026,yes,578,18.78,0.0,40.03,0.0,68.86,24.95,0.0,1.56,20.0,16.66,75.7,0.0,0.0,0.0,33.33,0.47,0.0,0.47,0.0,0.31,0.2,40.0,50.0,3.43,3.43,28.0,7.79,0.0,0.0,0.0,0.0
