Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Passing Att,Creativity Att,Crossing Att,Dribbling Att,Shooting Att,Defending Att,Winger Rating,Progressive passes per 90,"Accurate progressive passes, %",Passes per 90,"Accurate passes, %",Key passes per 90,xA per 90,Deep completions per 90,"Accurate crosses, %",Crosses per 90,"Successful dribbles, %",Dribbles per 90,Accelerations per 90,Non-penalty goals per 90,xG per 90,"Shots on target, %","Defensive duels won, %",Successful defensive actions per 90,Defensive duels per 90,"Aerial duels won, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
J. Colwill,Cardiff City,Cardiff City,AMF,"AMF, RCMF, RDMF",England League One 2025-26,21.0,0,30/06/2028,no,1895,71.42,34.58,90.62,72.79,47.16,56.21,69.24,3.56,53.33,31.2,85.84,0.24,0.04,1.0,77.78,0.43,76.19,1.0,0.38,0.19,0.13,33.33,57.02,6.17,5.41,38.16,3.61,0.0,0.0,0.0,0.0
J. Hawkes,Oldham Athletic,Oldham Athletic,LW,"LW, LAMF, LCMF",England League Two 2025-26,27.0,225000,30/06/2027,no,995,73.79,58.85,40.95,62.81,74.76,41.52,68.67,6.87,86.84,26.95,70.81,0.45,0.11,1.36,18.52,2.44,56.25,2.89,0.27,0.36,0.25,33.33,56.52,4.34,4.16,41.67,1.09,0.27,0.18,0.0,0.81
L. Molyneux,Doncaster Rovers,Doncaster Rovers,RW,"RW, RAMF, RWB",England League One 2025-26,28.0,300000,30/06/2027,no,3593,51.47,72.75,69.05,80.94,48.66,45.21,67.92,4.43,72.88,24.9,67.1,0.75,0.21,0.78,30.82,3.98,59.91,5.56,0.43,0.1,0.26,31.65,57.86,4.91,3.98,25.2,3.18,0.95,0.08,0.0,1.45
C. Vickers,Wigan Athletic,Wigan Athletic,RAMF,"RAMF, AMF",England League One 2025-26,21.0,175000,30/06/2027,yes,1290,69.91,52.18,65.04,68.54,43.68,53.94,67.88,3.84,69.09,30.21,79.68,0.49,0.11,0.91,50.0,1.12,68.42,1.33,0.42,0.21,0.08,31.25,59.7,5.58,4.67,17.86,1.95,0.35,0.0,0.0,0.91
P. Kelly,Barnsley,Barnsley,AMF,"AMF, LDMF, LCMF",England League One 2025-26,21.0,0,30/06/2028,no,2406,71.96,53.54,45.99,70.95,39.3,60.87,67.78,3.74,70.0,28.35,83.51,0.45,0.11,1.08,37.5,0.6,47.44,2.92,1.12,0.07,0.15,37.93,64.52,5.65,4.64,30.91,2.06,0.0,0.0,0.0,0.04
T. Gale,Bolton Wanderers,Bolton Wanderers,LAMF,LAMF,England League One 2025-26,23.0,700000,30/06/2029,no,1774,48.71,62.13,81.62,78.32,61.96,47.29,67.17,3.7,72.6,24.86,67.35,0.76,0.12,0.71,32.35,5.17,54.14,6.75,0.25,0.25,0.23,33.33,73.53,2.79,1.72,25.0,0.81,0.0,0.0,0.0,0.2
R. Hackett,Lincoln City,Lincoln City,RAMF,"RAMF, RW, LAMF",England League One 2025-26,28.0,275000,30/06/2027,no,2681,53.4,71.85,52.62,51.82,61.62,70.92,67.15,3.19,66.32,24.71,75.14,0.7,0.19,0.97,28.38,2.48,43.48,3.09,0.2,0.3,0.19,29.82,62.29,7.32,5.87,38.89,3.02,1.01,0.1,0.0,2.05
D. Burns,Grimsby Town,Grimsby Town,RW,RW,England League Two 2025-26,23.0,175000,30/06/2028,no,2521,59.02,77.64,72.21,66.2,30.68,44.68,67.03,5.53,75.48,25.03,68.76,0.68,0.14,1.61,39.13,3.28,51.47,4.86,0.18,0.04,0.14,28.95,53.24,5.25,4.96,26.92,4.64,0.04,0.0,0.0,0.79
Rob Apter,Bolton Wanderers,Bolton Wanderers,RAMF,"RAMF, RW, LAMF",England League One 2025-26,22.0,0,30/06/2029,yes,727,51.41,82.58,62.2,73.16,33.52,49.75,66.68,3.96,68.75,26.86,67.74,0.62,0.32,0.99,25.0,3.96,68.0,3.09,0.25,0.0,0.18,35.29,66.67,3.84,3.34,23.08,1.61,0.62,0.0,0.0,3.09
B. Kamwa,Newport County,Newport County,LW,"LW, LAMF, RAMF",England League Two 2025-26,26.0,0,30/06/2026,no,2819,55.21,59.87,79.55,82.65,34.63,50.04,66.54,4.41,76.81,22.48,71.73,0.54,0.14,1.02,41.88,3.74,56.06,6.32,0.51,0.06,0.16,29.31,66.98,3.77,3.38,21.05,1.82,0.03,0.03,0.0,0.1
