Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Defending Att,Aerial Att,Pass Retention Att,Pass Progression Att,Discipline Att,CB Rating,"Defensive duels won, %",PAdj Interceptions,PAdj Sliding tackles,Successful defensive actions per 90,Shots blocked per 90,"Aerial duels won, %",Aerial duels per 90,"Accurate short / medium passes, %",Short / medium passes per 90,Received passes per 90,Progressive passes per 90,"Accurate progressive passes, %",Fouls per 90,Yellow cards per 90,Red cards per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
M. Fox,Wigan Athletic,Wigan Athletic,LCB,"LCB, LB",England League One 2025-26,32.0,600000,30/06/2027,no,2883,33.46,31.66,68.38,88.18,74.3,41.7,74.23,5.26,0.11,8.18,0.56,53.33,4.21,89.07,32.56,30.31,11.24,74.17,0.69,0.06,0.03,0.22,0.06,50.0,0.06
L. Macari,Notts County,Notts County,RCB,RCB,England League Two 2025-26,24.0,225000,30/06/2027,no,3141,23.44,42.22,75.32,68.05,81.61,41.59,64.5,6.16,0.22,7.34,0.54,57.14,5.01,88.44,42.15,35.07,9.37,64.53,0.49,0.11,0.0,0.03,0.0,0.0,0.0
J. Baptiste,Rotherham United,Rotherham United,LCB,"LCB, RCB",England League One 2025-26,22.0,250000,31/05/2026,yes,2804,42.6,41.02,52.08,49.85,52.83,41.08,67.71,7.79,0.37,9.85,0.55,53.48,6.0,84.29,26.77,18.01,5.87,62.3,1.0,0.22,0.03,0.0,0.0,0.0,0.0
K. Cameron,Bromley,Bromley,LCB,"LCB, CB",England League Two 2025-26,29.0,250000,,no,1613,36.67,44.79,33.8,44.53,73.42,40.57,75.31,5.26,0.33,7.2,0.61,52.8,6.97,79.72,15.96,7.2,6.03,57.41,0.61,0.17,0.0,0.06,0.0,0.0,0.0
S. Swinkels,Chesterfield,Exeter City,LCB,LCB,England League One 2025-26,22.0,150000,30/06/2026,yes,550,14.18,66.94,61.64,63.52,62.06,39.9,56.0,6.14,0.35,8.35,0.33,72.41,4.75,85.87,30.11,29.29,10.15,58.06,0.65,0.33,0.0,0.0,0.0,0.0,0.0
M. Kacurri,Grimsby Town,Grimsby Town,RCB,RCB,England League Two 2025-26,20.0,0,30/06/2027,no,1102,40.37,45.54,45.18,54.95,48.65,39.84,79.66,6.45,0.14,7.68,0.16,53.57,6.86,82.09,24.17,13.56,7.84,59.38,1.14,0.25,0.0,0.0,0.0,0.0,0.0
J. Husband,Blackpool,Blackpool,LCB,LCB,England League One 2025-26,32.0,450000,30/06/2026,no,1452,28.39,57.46,55.07,51.89,50.82,39.73,62.65,7.91,0.09,8.99,0.43,65.12,5.33,85.54,25.72,21.76,7.44,58.33,0.87,0.19,0.12,0.12,0.0,0.0,0.0
A. Smith,Gillingham,Gillingham,LCB,"LCB, RCB",England League Two 2025-26,24.0,175000,30/06/2028,no,3161,47.07,39.94,37.26,39.6,50.59,39.29,71.43,6.7,0.46,9.17,0.91,54.79,5.35,80.71,17.71,9.2,5.12,56.67,1.22,0.17,0.0,0.0,0.0,0.0,0.0
H. Holgate,Fleetwood Town,Fleetwood Town,RCB,"RCB, CB, LCB",England League Two 2025-26,25.0,175000,30/06/2026,no,1617,41.3,15.48,57.59,69.75,90.69,39.09,73.45,7.12,0.08,9.85,0.39,45.45,3.67,85.01,30.45,22.88,10.58,61.58,0.33,0.06,0.0,0.0,0.0,0.0,0.0
O. Clarke,Swindon Town,Swindon Town,LCB,"LCB, RCMF",England League Two 2025-26,33.0,150000,,no,2255,41.98,44.34,38.59,51.66,49.57,39.01,68.18,6.37,0.8,8.86,0.52,50.0,7.82,78.37,21.03,15.45,7.14,59.22,1.16,0.16,0.04,0.0,0.0,0.0,0.0
S. Roughan,Huddersfield Town,Huddersfield Town,LCB,"LCB, LB",England League One 2025-26,23.0,700000,30/06/2028,no,2263,23.79,44.0,66.83,74.49,71.86,38.87,60.58,8.36,0.12,8.87,0.08,58.54,4.89,85.18,37.03,33.88,9.66,68.72,0.8,0.08,0.0,0.32,0.0,0.0,0.84
C. Tilt,Bradford City,Bradford City,LCB,"LCB, CB",England League One 2025-26,34.0,100000,30/06/2027,no,2603,36.75,66.47,40.34,47.72,18.55,38.74,65.04,7.8,0.16,10.13,0.59,65.99,6.81,78.9,23.27,14.63,7.3,55.45,1.73,0.38,0.0,0.0,0.0,0.0,0.0
C. Humphreys,Port Vale,Port Vale,RCB,"RCB, CB, LCB",England League One 2025-26,27.0,900000,30/06/2027,no,2944,19.93,54.67,63.98,56.07,67.92,38.57,59.88,6.3,0.25,7.86,0.58,65.99,4.49,90.01,30.3,20.6,6.33,65.7,0.79,0.15,0.0,0.03,0.0,0.0,0.0
L. Offord,Milton Keynes Dons,Milton Keynes Dons,LCB,"LCB, RCB",England League Two 2025-26,26.0,275000,,no,3797,38.77,40.95,51.0,70.1,43.67,36.9,70.66,6.85,0.36,8.86,0.4,54.1,5.78,82.97,26.17,20.74,10.29,62.9,1.16,0.24,0.05,0.02,0.0,0.0,0.05
E. Hewitt,Mansfield Town,Mansfield Town,RCB,"RCB, RWB, RB",England League One 2025-26,31.0,150000,30/06/2026,no,1360,25.33,65.22,42.9,69.44,36.06,36.73,64.89,6.17,0.17,8.87,0.4,68.6,5.69,79.26,23.29,18.99,8.27,69.6,1.46,0.26,0.0,0.0,0.0,0.0,0.0
J. Smith,Accrington Stanley,Accrington Stanley,RCB,"RCB, LCB",England League Two 2025-26,20.0,0,30/06/2027,no,736,31.6,47.57,40.51,68.8,55.26,36.36,62.5,6.91,0.59,8.93,0.37,53.33,7.34,78.92,22.62,15.77,8.68,67.61,0.98,0.24,0.0,0.0,0.0,0.0,0.0
C. Haughey,Fleetwood Town U21,Fleetwood Town,CB,CB,England League Two 2025-26,18.0,0,30/06/2029,no,1752,39.62,14.73,66.71,68.17,82.14,36.31,73.12,6.42,0.25,7.6,0.77,45.07,3.65,90.61,32.26,22.04,7.96,69.68,0.41,0.15,0.0,0.05,0.0,0.0,0.0
J. Carragher,Wigan Athletic,Wigan Athletic,RCB,"RCB, CB",England League One 2025-26,23.0,0,30/06/2027,no,1424,25.41,40.38,65.53,62.15,71.44,36.29,72.22,4.77,0.16,7.21,0.38,53.85,5.75,87.37,36.03,25.22,8.6,62.5,0.63,0.19,0.0,0.0,0.0,0.0,0.0
L. Hoole,Shrewsbury Town,Shrewsbury Town,RCB,"RCB, RWB, RB",England League Two 2025-26,23.0,200000,30/06/2026,no,2841,37.76,46.59,38.0,52.03,47.49,36.18,66.67,6.28,0.59,10.01,0.41,56.12,6.21,78.68,20.21,14.22,7.13,59.56,1.27,0.19,0.0,0.06,0.06,50.0,0.0
B. Kirkman,Swindon Town,Swindon Town,LCB,"LCB, LB",England League Two 2025-26,22.0,0,,no,584,54.86,9.05,61.92,78.76,51.45,35.98,56.25,11.52,0.72,13.41,0.46,33.33,6.47,85.96,35.14,23.12,9.55,72.58,1.23,0.15,0.0,0.0,0.0,0.0,0.0
L. Garbutt,Salford City,Salford City,LCB,"LCB, LB",England League Two 2025-26,32.0,175000,30/06/2027,no,3929,30.95,32.94,59.56,75.77,69.1,35.7,62.74,7.3,0.46,8.45,0.44,51.34,5.13,86.47,29.46,23.66,9.64,69.83,0.69,0.16,0.02,1.67,0.48,38.1,2.15
P. Brough,Tranmere Rovers,Tranmere Rovers,LCB,"LCB, LB, LWB",England League Two 2025-26,30.0,275000,30/06/2027,no,3743,34.79,41.4,41.42,64.7,57.7,35.69,61.44,8.41,0.35,9.55,0.48,52.87,6.28,79.11,23.13,16.47,8.54,64.79,1.03,0.17,0.0,0.12,0.0,0.0,0.0
G. Nevett,Peterborough United,Peterborough United,LCB,"LCB, CB",England League One 2025-26,20.0,0,30/06/2028,no,1357,26.54,37.75,87.93,39.83,60.15,34.41,67.9,5.69,0.09,7.83,0.66,57.38,4.05,92.54,50.67,38.07,6.76,50.98,0.8,0.27,0.0,0.0,0.0,0.0,0.0
E. Weir,Walsall,Walsall,LCB,LCB,England League Two 2025-26,23.0,100000,30/06/2026,no,2890,27.83,30.7,43.51,80.27,84.32,33.6,74.07,5.09,0.2,6.57,0.34,54.17,3.74,80.14,21.96,19.15,10.37,70.87,0.5,0.06,0.0,2.65,0.28,33.33,2.4
A. Jackson,Lincoln City,Lincoln City,RCB,"RCB, LCB",England League One 2025-26,31.0,250000,30/06/2027,no,847,36.21,41.72,51.4,59.73,41.37,33.55,65.0,7.13,0.4,8.71,0.74,49.3,7.54,87.06,21.36,14.45,6.59,67.74,1.28,0.11,0.11,0.0,0.0,0.0,0.0
J. Gibbons,Cambridge United,Cambridge United,RCB,"RCB, RB, LB",England League Two 2025-26,28.0,150000,30/06/2026,no,2796,25.55,35.15,55.07,83.03,71.42,33.14,68.18,6.54,0.15,7.27,0.26,52.87,5.05,82.77,30.45,24.72,10.78,71.64,0.68,0.16,0.0,0.03,0.0,0.0,0.0
R. Harbottle,Bristol Rovers,Bristol Rovers,LCB,"LCB, RCB",England League Two 2025-26,25.0,200000,30/06/2028,no,1033,54.48,28.64,39.76,49.23,26.39,32.41,76.25,7.02,0.44,9.76,0.78,38.38,8.63,81.13,18.47,12.28,5.14,64.41,1.57,0.35,0.0,0.0,0.0,0.0,0.0
J. Lewis,AFC Wimbledon,AFC Wimbledon,CB,"CB, RCB",England League One 2025-26,26.0,175000,,no,2196,21.24,57.45,49.67,89.76,35.41,31.83,65.5,5.5,0.0,8.65,0.49,62.67,6.15,82.2,26.02,20.57,13.11,68.75,1.39,0.25,0.04,0.0,0.0,0.0,0.0
T. Allen,Wycombe Wanderers,Wycombe Wanderers,LCB,"LCB, LB",England League One 2025-26,25.0,125000,30/06/2026,no,2571,22.28,33.01,75.04,71.64,69.3,31.41,69.72,5.25,0.16,7.11,0.25,54.87,3.96,90.24,39.1,32.52,8.93,69.02,0.6,0.18,0.04,0.04,0.0,0.0,0.0
R. Browne,Walsall,Walsall,RCB,"RCB, RB",England League Two 2025-26,22.0,0,30/06/2026,no,1519,32.13,41.58,44.57,44.73,55.17,31.41,71.59,5.17,0.46,8.06,0.3,59.15,4.21,81.89,23.88,13.27,6.81,54.78,1.18,0.12,0.0,0.0,0.0,0.0,0.0
S. Aljofree,Notts County,Notts County,RCB,RCB,England League Two 2025-26,21.0,0,31/05/2026,yes,767,18.52,29.98,66.53,57.88,89.15,29.39,67.44,6.4,0.0,7.16,0.0,42.86,7.39,87.1,36.38,27.81,7.74,62.12,0.47,0.0,0.0,0.0,0.0,0.0,0.0
J. Golding,Southend United,Crewe Alexandra,RCB,"RCB, LCB",England League Two 2025-26,21.0,0,30/06/2026,yes,638,21.15,54.98,61.01,69.16,31.46,29.21,63.27,5.59,0.19,8.75,0.42,55.17,8.18,85.32,35.55,22.71,9.17,66.15,1.55,0.28,0.0,0.0,0.0,0.0,0.0
P. Sweeney,Exeter City,Exeter City,RCB,"RCB, RB",England League One 2025-26,31.0,500000,30/06/2026,no,3179,20.22,29.86,77.22,81.97,67.83,28.82,60.48,6.75,0.16,7.84,0.51,51.59,4.44,87.85,44.02,38.7,11.95,66.59,0.71,0.2,0.0,0.11,0.0,0.0,0.2
T. Sibbick,Burton Albion,Burton Albion,CB,"CB, LWB, LCB",England League One 2025-26,26.0,650000,30/06/2026,no,2845,33.03,20.96,50.23,50.75,79.46,28.68,72.73,6.1,0.0,9.49,0.28,51.11,2.85,84.14,24.33,17.62,6.77,59.81,0.63,0.06,0.0,0.03,0.0,0.0,0.0
S. Raggett,Cambridge United,Rotherham United,CB,CB,England League One 2025-26,32.0,300000,30/06/2026,yes,466,13.19,54.28,57.16,50.46,60.98,28.62,60.0,5.81,0.23,6.76,0.39,61.29,5.99,89.47,25.69,13.52,3.86,70.0,0.58,0.39,0.0,0.0,0.0,0.0,0.0
J. Anderson,Barrow,Barrow,LCB,"LCB, LB",England League Two 2025-26,25.0,175000,30/06/2027,no,761,35.21,29.15,50.78,79.02,46.19,28.28,67.86,7.05,0.36,9.34,0.24,51.35,4.38,82.61,27.2,20.11,9.93,71.43,1.42,0.12,0.0,0.0,0.0,0.0,0.0
J. Rafferty,Rotherham United,Rotherham United,RCB,"RCB, RB",England League One 2025-26,32.0,350000,30/06/2026,no,3188,32.57,23.54,47.95,69.4,65.56,27.04,64.55,6.32,0.66,8.53,0.4,51.28,3.3,82.86,22.08,19.76,8.72,67.96,0.82,0.17,0.0,0.08,0.0,0.0,0.06
T. Vancooten,Burton Albion,Burton Albion,CB,"CB, RCB",England League One 2025-26,28.0,225000,30/06/2027,no,1508,26.46,45.71,49.61,61.08,38.41,26.81,58.76,8.09,0.25,9.31,0.36,51.16,7.7,81.38,28.53,19.87,8.83,60.81,1.43,0.24,0.0,0.0,0.0,0.0,0.0
S. Rooney,Fleetwood Town,Fleetwood Town,RCB,"RCB, RWB",England League Two 2025-26,29.0,400000,30/06/2027,no,2155,31.35,43.03,52.45,77.2,17.6,24.99,59.04,9.18,0.19,10.15,0.29,54.48,6.06,82.39,29.4,21.63,10.4,68.27,1.8,0.29,0.04,0.0,0.0,0.0,0.0
F. Delap,Burton Albion,Burton Albion,CB,"CB, RCB",England League One 2025-26,20.0,0,30/06/2027,no,529,17.45,60.51,43.74,66.17,28.51,24.78,46.67,9.52,0.21,10.38,0.34,62.5,6.81,80.41,25.18,14.63,10.21,60.0,1.53,0.34,0.0,0.0,0.0,0.0,0.0
L. Shipley,Barrow,Barrow,LCB,"LCB, LB",England League Two 2025-26,22.0,300000,30/06/2027,no,2080,25.65,26.65,48.81,47.46,71.48,23.0,63.04,5.53,0.4,8.22,0.69,47.86,5.06,80.87,28.73,19.56,7.75,53.63,0.69,0.09,0.04,0.0,0.0,0.0,0.0
J. Lowe,Tranmere Rovers,Tranmere Rovers,RCB,"RCB, RB",England League Two 2025-26,34.0,125000,30/06/2026,no,660,33.99,1.4,63.54,94.56,72.65,22.52,63.16,5.76,0.99,7.91,0.55,40.0,2.73,85.77,35.45,26.86,12.68,74.19,0.68,0.14,0.0,0.14,0.0,0.0,0.0
J. Thompson,Barrow,Barrow,RCB,RCB,England League Two 2025-26,20.0,0,,yes,678,21.49,38.11,46.6,61.81,50.41,21.16,70.59,5.4,0.0,7.04,0.27,51.06,6.24,79.9,27.08,20.04,8.89,61.19,1.06,0.27,0.0,0.0,0.0,0.0,0.0
O. Turton,Salford City,Salford City,RCB,RCB,England League Two 2025-26,33.0,500000,,no,3022,31.28,14.35,43.5,72.16,69.0,20.71,69.2,5.67,0.44,8.37,0.3,43.48,4.11,79.57,23.62,18.85,9.5,67.4,0.86,0.09,0.0,0.06,0.0,0.0,0.0
R. Harbottle,Bristol Rovers,AFC Wimbledon,LCB,LCB,England League One 2025-26,25.0,200000,30/06/2028,no,568,33.84,30.7,32.13,26.26,51.45,20.43,68.89,4.77,0.6,9.19,0.48,47.37,6.02,76.99,17.9,9.98,5.23,45.45,0.95,0.32,0.0,0.0,0.0,0.0,0.0
U. Godwin-Malife,Burton Albion,Burton Albion,RCB,RCB,England League One 2025-26,25.0,325000,30/06/2027,no,3198,7.66,44.1,49.24,60.13,71.2,20.25,57.72,6.18,0.08,6.5,0.31,61.94,3.77,82.37,26.65,18.26,7.09,66.27,0.62,0.2,0.0,0.0,0.0,0.0,0.0
I. Ogundere,AFC Wimbledon,AFC Wimbledon,RCB,"RCB, RB",England League One 2025-26,23.0,0,30/06/2027,no,3921,25.69,19.6,55.0,63.32,66.0,19.87,65.11,5.83,0.03,9.09,0.69,45.6,4.43,84.7,27.91,21.53,9.07,61.77,0.94,0.09,0.0,0.0,0.0,0.0,0.0
J. Yfeko,Exeter City,Exeter City,LCB,LCB,England League One 2025-26,22.0,0,,no,650,26.98,6.04,82.1,90.89,53.17,17.01,66.67,6.57,0.0,7.75,0.69,39.29,3.88,91.13,45.28,36.97,10.52,78.95,0.97,0.28,0.0,0.0,0.0,0.0,0.0
M. Williams,Barrow,Barrow,RCB,"RCB, RCMF, RDMF",England League Two 2025-26,30.0,250000,30/06/2027,no,1770,20.69,21.27,57.22,65.59,62.32,16.33,62.03,6.15,0.34,7.37,0.41,51.92,2.64,86.19,29.08,19.98,7.98,67.52,0.81,0.15,0.05,0.0,0.0,0.0,0.0
J. Hunt,Wigan Athletic,Wigan Athletic,RCB,"RCB, RB, RWB",England League One 2025-26,35.0,100000,30/06/2026,no,634,22.37,3.51,57.06,81.83,76.77,12.83,65.12,5.44,0.0,7.81,0.85,36.67,4.26,80.0,36.2,30.66,12.63,64.04,0.57,0.14,0.0,0.0,0.0,0.0,0.0
D. Love,Accrington Stanley,Accrington Stanley,RCB,"RCB, RWB",England League Two 2025-26,31.0,175000,30/06/2028,no,2720,31.47,0.0,48.32,82.63,46.97,7.21,67.06,7.13,0.33,8.93,0.1,38.64,2.91,81.3,24.95,21.94,10.56,72.1,0.86,0.4,0.03,0.2,0.03,0.0,0.1
F. Sass,Accrington Stanley,Accrington Stanley,LCB,"LCB, LB, LWB",England League Two 2025-26,24.0,0,,no,1621,0.0,46.43,37.75,56.57,50.59,6.22,56.47,5.09,0.0,6.22,0.33,58.0,5.55,78.53,18.88,15.88,8.44,58.55,1.22,0.17,0.0,0.0,0.0,0.0,0.06
A. MacDonald,Barrow,Barrow,RCB,"RCB, CB",England League Two 2025-26,33.0,300000,,no,730,12.64,17.64,32.28,45.18,62.28,0.13,64.0,4.49,0.18,5.18,0.74,41.86,5.3,78.03,16.27,9.0,5.92,58.33,0.99,0.12,0.0,0.0,0.0,0.0,0.0
B. Webster,Bromley,Bromley,CB,"CB, LCB",England League Two 2025-26,38.0,0,30/06/2026,no,603,9.25,38.43,24.94,43.53,34.76,0.0,62.07,5.91,0.0,6.42,0.15,54.29,5.22,73.87,16.57,6.27,5.67,57.89,1.04,0.3,0.15,0.15,0.0,0.0,0.15
