Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Defending Att,Aerial Att,Pass Retention Att,Pass Progression Att,Discipline Att,CB Rating,"Defensive duels won, %",PAdj Interceptions,PAdj Sliding tackles,Successful defensive actions per 90,Shots blocked per 90,"Aerial duels won, %",Aerial duels per 90,"Accurate short / medium passes, %",Short / medium passes per 90,Received passes per 90,Progressive passes per 90,"Accurate progressive passes, %",Fouls per 90,Yellow cards per 90,Red cards per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
J. Wilson,Cheltenham Town,Cheltenham Town,LCB,LCB,England League Two 2025-26,37.0,75000,30/06/2026,no,3551,51.7,38.85,62.92,63.49,89.45,62.29,83.13,6.85,0.11,8.36,0.53,57.49,4.23,87.73,30.97,24.89,8.69,63.27,0.33,0.08,0.0,0.0,0.0,0.0,0.0
J. Kizzi,Barnet,Barnet,RCB,"RCB, LCB, CB",England League Two 2025-26,32.0,0,30/06/2027,no,1114,53.32,59.49,68.43,70.53,37.83,62.28,74.23,9.32,0.15,11.07,0.24,59.57,7.59,88.24,38.46,25.53,8.64,69.16,1.37,0.16,0.08,0.0,0.0,0.0,0.0
P. O'Connor,Reading,Reading,RCB,"RCB, LCB",England League One 2025-26,28.0,375000,30/06/2029,no,3269,40.72,74.45,73.37,50.49,44.18,62.06,67.58,7.97,0.24,9.09,0.69,68.23,7.63,88.75,41.6,30.53,7.57,56.73,1.21,0.28,0.0,0.0,0.0,0.0,0.0
S. Grehan,Doncaster Rovers,Doncaster Rovers,RCB,"RCB, RB",England League One 2025-26,22.0,150000,30/06/2028,no,781,48.4,40.42,62.28,87.76,85.03,61.53,58.82,10.85,0.16,12.56,0.81,51.79,6.45,86.79,32.27,24.89,10.03,78.16,0.58,0.0,0.0,0.0,0.0,0.0,0.0
J. Flint,Crawley Town,Crawley Town,LCB,LCB,England League Two 2025-26,25.0,450000,30/06/2026,no,3298,43.1,50.09,72.35,76.24,76.37,61.35,68.88,8.47,0.5,8.54,0.3,54.15,7.56,88.39,38.78,33.13,9.8,69.64,0.63,0.11,0.0,0.0,0.0,0.0,0.0
F. Burns,Reading,Reading,RCB,"RCB, LCB",England League One 2025-26,22.0,1000000,30/06/2027,yes,1918,38.8,63.72,67.58,49.29,72.19,61.18,62.1,7.55,0.5,9.62,0.84,67.48,5.77,89.92,33.5,24.59,7.74,55.15,0.61,0.19,0.0,0.0,0.0,0.0,0.0
D. Sweeney,Stevenage,Stevenage,RCB,"RCB, CB",England League One 2025-26,31.0,175000,,no,1238,46.97,69.51,54.08,68.61,41.12,61.09,65.71,9.68,0.32,10.25,0.51,65.09,7.71,84.4,30.75,16.87,9.67,63.91,1.16,0.36,0.0,0.0,0.0,0.0,0.0
A. Baldwin,Bradford City,Bradford City,CB,"CB, RCB",England League One 2025-26,28.0,225000,30/06/2026,no,2479,43.0,62.98,46.98,74.25,65.93,60.57,65.43,8.03,0.5,9.4,0.69,68.0,5.45,81.65,25.52,17.17,11.15,63.19,0.69,0.18,0.04,0.0,0.0,0.0,0.0
C. Barker,Crawley Town,Crawley Town,RCB,RCB,England League Two 2025-26,23.0,50000,,no,3865,50.63,48.57,71.6,76.37,57.11,60.52,61.51,10.43,0.59,9.52,0.86,52.54,7.8,88.2,39.26,31.51,10.41,67.56,0.98,0.21,0.0,0.0,0.0,0.0,0.02
A. Oshilaja,Mansfield Town,Mansfield Town,RCB,"RCB, CB",England League One 2025-26,33.0,275000,30/06/2028,no,2955,42.58,62.7,64.57,57.42,60.85,60.37,72.68,6.58,0.27,9.69,0.55,69.09,5.03,88.08,34.23,23.12,7.4,62.96,0.88,0.21,0.0,0.03,0.0,0.0,0.0
J. Connolly,Crewe Alexandra,Crewe Alexandra,RCB,RCB,England League Two 2025-26,24.0,375000,30/06/2026,no,3387,43.64,70.22,55.12,60.23,48.24,60.34,70.0,7.52,0.12,8.69,1.09,58.62,10.02,84.42,28.99,21.31,9.14,59.01,1.25,0.19,0.0,0.0,0.0,0.0,0.0
M. Platt,Notts County,Notts County,CB,CB,England League Two 2025-26,28.0,275000,30/06/2026,no,2068,33.67,69.0,74.77,54.99,65.19,60.11,63.86,8.79,0.13,8.18,0.57,68.46,6.48,88.75,41.78,33.34,9.14,54.76,0.83,0.17,0.0,0.0,0.0,0.0,0.0
