Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Shot Stopping Att,Aerial Att,Sweeping Att,Short Dist Att,Long Dist Att,GK Rating,Prevented goals per 90,"Save rate, %",Shots against per 90,"Aerial duels won, %",Aerial duels per 90,Exits per 90,PAdj Interceptions,"Accurate short / medium passes, %",Short / medium passes per 90,"Average pass length, m","Accurate long passes, %",Long passes per 90,"Average long pass length, m"
T. Simkin,Stoke City,Leyton Orient,GK,GK,England League One 2025-26,21.0,0,30/06/2028,no,1310,21.24,89.46,96.74,52.2,41.05,58.57,-0.349,62.69,4.6,100.0,0.41,1.65,5.15,96.97,13.6,34.42,56.82,12.09,51.26
K. Cahill,Leyton Orient,Leyton Orient,GK,GK,England League One 2025-26,22.0,0,30/06/2027,no,1617,40.85,85.26,31.33,45.39,59.27,58.56,-0.117,62.5,3.56,100.0,0.28,0.95,2.61,96.46,12.58,35.79,62.56,12.63,49.04
J. Wright,Newport County,Newport County,GK,GK,England League Two 2025-26,27.0,125000,30/06/2026,no,3232,44.91,88.13,50.75,29.92,29.4,58.29,-0.189,68.67,4.62,94.44,0.5,1.89,1.97,95.33,10.14,41.66,51.77,12.59,54.48
J. Wollacott,Crawley Town,Crawley Town,GK,GK,England League Two 2025-26,29.0,300000,30/06/2026,no,910,33.26,82.67,59.34,77.8,22.03,56.55,-0.176,60.98,4.05,100.0,0.2,1.38,3.45,98.1,20.77,28.61,54.95,9.0,55.16
C. Addai,Stockport County,Stockport County,GK,GK,England League One 2025-26,28.0,175000,30/06/2027,no,1494,37.29,80.08,18.25,76.04,57.81,56.22,-0.228,66.1,3.55,100.0,0.12,1.2,1.36,98.91,16.51,35.81,65.34,10.6,53.33
S. Walker,Bradford City,Bradford City,GK,GK,England League One 2025-26,34.0,125000,30/06/2027,no,4086,53.09,79.72,29.11,22.21,42.69,55.56,-0.091,68.53,3.15,92.31,0.29,1.48,1.47,95.49,5.86,44.55,61.07,9.85,55.02
J. Turner,Gillingham,Gillingham,GK,GK,England League Two 2025-26,27.0,175000,,no,1605,31.2,86.69,63.89,0.0,78.96,55.02,-0.169,59.38,3.59,90.0,0.56,1.91,2.71,93.42,4.26,47.2,63.79,16.26,52.76
T. Booth,Crewe Alexandra,Crewe Alexandra,GK,GK,England League Two 2025-26,21.0,0,30/06/2027,no,1900,58.32,65.1,45.23,58.67,18.47,54.84,-0.054,69.77,4.07,71.43,0.33,1.23,2.9,98.04,12.08,36.68,54.05,8.76,56.86
I. Lawlor,Crewe Alexandra,Doncaster Rovers,GK,GK,England League One 2025-26,31.0,75000,30/06/2027,no,605,33.1,90.75,18.08,76.07,18.63,53.53,-0.073,55.56,4.02,100.0,0.45,0.89,1.94,100.0,11.9,35.9,55.77,7.74,54.99
J. Amissah,Burton Albion,Burton Albion,GK,GK,England League One 2025-26,24.0,250000,30/06/2027,no,511,21.9,93.34,9.77,43.0,84.16,52.56,-0.234,57.14,3.7,100.0,0.53,0.7,1.81,97.5,7.05,43.2,71.23,12.86,56.93
Z. Clark,Doncaster Rovers,Doncaster Rovers,GK,GK,England League One 2025-26,33.0,700000,31/05/2027,yes,697,32.18,80.41,15.27,67.47,51.79,50.67,-0.24,63.64,2.84,100.0,0.13,1.16,1.26,100.0,7.88,44.3,60.64,12.14,55.29
T. Lo-Tutala,Doncaster Rovers,Doncaster Rovers,GK,GK,England League One 2025-26,23.0,350000,30/06/2028,yes,2866,32.67,74.76,27.7,65.2,28.09,45.56,-0.224,63.11,3.83,87.5,0.25,1.0,2.3,98.1,14.88,35.42,54.82,10.43,54.28
B. Amos,Port Vale,Port Vale,GK,GK,England League One 2025-26,35.0,100000,30/06/2026,no,714,6.23,73.32,94.66,38.02,27.01,36.04,-0.425,57.58,4.16,75.0,0.5,2.52,3.37,96.77,7.82,38.02,55.0,10.08,52.08
E. Harrison,Manchester United U21,Shrewsbury Town,GK,GK,England League Two 2025-26,20.0,0,31/05/2026,no,596,18.49,65.36,36.96,0.09,60.82,28.48,-0.423,64.86,5.59,66.67,0.45,0.91,3.02,90.91,14.95,37.42,61.8,13.44,49.44
L. Southwood,Bristol Rovers,Bristol Rovers,GK,GK,England League Two 2025-26,28.0,500000,30/06/2027,no,2229,16.31,43.28,32.24,63.31,82.19,27.66,-0.279,56.1,3.31,50.0,0.16,1.01,2.55,98.63,11.75,40.48,66.06,15.59,52.7
T. Cann,Rotherham United,Rotherham United,GK,GK,England League One 2025-26,25.0,100000,30/06/2027,no,903,71.73,0.0,52.78,43.42,28.16,25.9,0.089,70.45,4.39,0.0,0.0,1.99,1.9,97.4,7.67,42.71,48.94,14.05,51.43
W. Jonathan Dennis,Leyton Orient,Leyton Orient,GK,GK,England League One 2025-26,25.0,350000,30/06/2028,yes,1028,77.15,0.0,38.28,52.71,0.0,23.57,0.108,72.73,3.85,0.0,0.0,1.66,1.67,97.24,12.69,33.58,47.06,8.93,53.37
C. Pym,Grimsby Town,Grimsby Town,GK,GK,England League Two 2025-26,30.0,450000,30/06/2027,no,1875,0.0,59.91,0.0,57.79,77.99,21.06,-0.439,54.55,2.64,62.5,0.38,0.58,1.46,97.76,12.86,38.15,70.08,12.19,52.77
J. McDonnell,AFC Wimbledon,AFC Wimbledon,GK,GK,England League One 2025-26,31.0,0,30/06/2027,no,604,38.67,0.0,6.35,12.09,61.47,0.0,-0.094,60.0,3.73,0.0,0.0,1.04,0.96,94.0,7.45,44.3,59.41,15.05,52.96
