Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Goal Threat Att,Creativity Att,Dribbling Att,Aerial Att,Defending Att,ST Rating,Non-penalty goals per 90,xG per 90,"Shots on target, %",Touches in box per 90,Key passes per 90,xA per 90,Deep completions per 90,"Successful dribbles, %",Dribbles per 90,Accelerations per 90,"Aerial duels won, %",Aerial duels per 90,Head goals per 90,"Defensive duels won, %",Successful defensive actions per 90,Defensive duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
N. Méndez-Laing,Milton Keynes Dons,Milton Keynes Dons,CF,"CF, LWF",England League Two 2025-26,33.0,400000,30/06/2026,no,1584,70.03,100.0,100.0,21.91,58.43,100.0,0.23,0.34,65.52,3.52,0.97,0.2,1.08,71.88,5.45,0.68,21.74,2.61,0.0,61.9,4.49,3.58,0.0,0.0,0.0,0.11
A. Sidibeh,Stockport County,Stockport County,CF,"CF, RWF",England League One 2025-26,27.0,0,30/06/2028,no,721,98.62,64.03,20.31,78.95,56.94,91.49,0.62,0.39,50.0,6.12,0.5,0.13,1.0,28.57,0.87,0.0,36.49,9.24,0.37,62.96,4.24,3.37,0.0,0.0,0.0,0.0
A. Cook,Grimsby Town,Grimsby Town,CF,CF,England League Two 2025-26,35.0,150000,30/06/2026,yes,1201,87.53,53.1,38.17,79.05,49.79,85.72,0.52,0.52,48.57,4.12,0.3,0.13,0.97,50.0,0.9,0.22,43.68,13.04,0.15,70.83,3.07,1.8,0.0,0.0,0.0,0.0
J. Kenny,Bolton Wanderers,Bolton Wanderers,CF,"CF, AMF, RAMF",England League One 2025-26,22.0,175000,31/05/2029,yes,619,77.55,80.81,47.88,42.78,57.76,84.55,0.15,0.6,36.84,4.65,0.58,0.26,0.73,64.29,2.04,0.0,26.47,4.94,0.15,71.43,4.07,2.04,0.0,0.0,0.0,0.0
R. Oné,Lincoln City,Lincoln City,CF,"CF, RAMF, LAMF",England League One 2025-26,19.0,0,,yes,465,100.0,34.47,52.96,51.64,45.43,84.01,0.97,0.31,57.14,4.84,0.19,0.1,0.58,55.56,1.74,0.39,27.5,7.74,0.19,43.48,5.03,4.45,0.0,0.0,0.0,0.0
S. Lavery,Cambridge United,Cambridge United,CF,"CF, AMF",England League Two 2025-26,27.0,450000,30/06/2026,no,1026,94.9,43.89,58.43,31.41,56.04,82.6,0.53,0.49,51.85,5.09,0.26,0.04,1.23,30.56,3.16,0.61,20.37,9.47,0.0,54.24,3.95,5.18,0.0,0.0,0.0,0.0
L. Nordås,Heerenveen,Luton Town,CF,"CF, AMF",England League One 2025-26,24.0,1200000,30/06/2026,yes,486,80.93,56.94,68.11,49.81,30.77,82.4,0.19,0.44,50.0,5.37,0.56,0.07,0.93,81.82,2.04,0.37,31.25,11.85,0.0,47.06,3.15,3.15,0.0,0.0,0.0,0.0
K. N’Mai,Salford City,Salford City,CF,"CF, LWB, LW",England League Two 2025-26,21.0,0,30/06/2026,no,2133,54.07,81.39,93.21,7.43,65.57,78.13,0.21,0.23,26.83,4.98,0.55,0.12,1.73,50.33,6.46,0.55,11.9,1.77,0.0,50.38,5.99,5.53,0.0,0.0,0.0,0.04
A. Adomah,Walsall,Walsall,CF,"CF, RWF",England League Two 2025-26,38.0,150000,30/06/2026,no,1299,55.25,66.05,83.54,30.82,72.04,77.34,0.35,0.23,52.38,2.77,0.48,0.21,0.62,43.28,4.64,0.83,23.53,3.53,0.07,61.76,5.68,4.71,0.14,0.07,0.0,0.76
R. Oates,Mansfield Town,Mansfield Town,CF,"CF, LAMF",England League One 2025-26,31.0,125000,30/06/2027,no,1877,68.16,57.41,77.21,32.54,42.18,75.18,0.34,0.38,40.0,4.12,0.43,0.16,0.67,51.79,5.37,0.29,22.66,6.14,0.05,50.62,3.64,3.88,0.0,0.0,0.0,0.0
L. Tolaj,Plymouth Argyle,Plymouth Argyle,CF,CF,England League One 2025-26,24.0,0,30/06/2029,no,2486,76.52,50.65,52.65,53.76,43.17,75.07,0.36,0.54,41.77,3.69,0.36,0.09,0.98,63.64,1.99,0.18,40.43,5.1,0.04,55.17,3.66,3.15,0.11,0.11,33.33,0.07
F. Holman,Swindon Town,Swindon Town,CF,"CF, RAMF, AMF",England League Two 2025-26,21.0,0,30/06/2027,no,1033,81.17,49.41,67.66,20.07,37.84,72.9,0.44,0.45,57.14,3.66,0.44,0.11,0.61,61.9,3.66,0.26,19.05,3.66,0.0,58.62,2.7,2.53,0.09,0.0,0.0,0.09
T. Walton,Accrington Stanley,Accrington Stanley,CF,CF,England League Two 2025-26,27.0,0,30/06/2026,no,979,69.0,26.36,52.63,82.92,50.96,70.85,0.37,0.36,50.0,3.59,0.09,0.07,0.64,66.67,2.48,0.0,38.12,18.57,0.18,51.11,4.78,4.14,0.0,0.0,0.0,0.0
A. Jatta,Notts County,Notts County,CF,CF,England League Two 2025-26,27.0,325000,30/06/2027,no,2387,82.39,40.36,38.59,49.21,53.43,70.61,0.53,0.43,63.64,3.13,0.3,0.08,0.72,57.89,0.72,0.15,30.91,8.29,0.08,66.67,3.81,2.49,0.0,0.0,0.0,0.0
D. Ballard,Leyton Orient,Leyton Orient,CF,CF,England League One 2025-26,21.0,300000,30/06/2028,no,3432,78.31,45.73,51.05,41.41,42.74,70.43,0.55,0.44,45.0,3.65,0.45,0.07,0.68,52.08,2.52,0.18,22.41,6.08,0.18,60.61,3.07,2.6,0.0,0.0,0.0,0.0
A. Drinan,Swindon Town,Swindon Town,CF,"CF, AMF",England League Two 2025-26,27.0,175000,30/06/2028,no,3489,77.41,40.85,44.52,51.84,50.21,69.91,0.46,0.43,54.12,3.43,0.31,0.1,0.59,50.0,1.65,0.23,33.99,6.53,0.1,66.67,3.35,2.4,0.0,0.0,0.0,0.0
A. Connolly,Leyton Orient,Leyton Orient,CF,"CF, LAMF, AMF",England League One 2025-26,26.0,2500000,30/06/2027,no,1660,68.87,47.24,83.23,13.44,46.6,69.75,0.38,0.42,34.33,4.07,0.43,0.1,0.6,51.4,5.8,0.38,13.7,3.96,0.0,63.27,3.14,2.66,0.33,0.16,33.33,1.95
Y. Salech,Cardiff City,Cardiff City,CF,CF,England League One 2025-26,24.0,1800000,30/06/2030,no,2313,85.75,34.68,28.81,88.87,6.18,69.36,0.43,0.61,37.14,4.32,0.23,0.05,0.82,45.45,0.86,0.0,51.98,8.83,0.23,37.25,2.1,1.98,0.0,0.0,0.0,0.0
R. Hepburn-Murphy,Milton Keynes Dons,Milton Keynes Dons,CF,"CF, RWF, LW",England League Two 2025-26,27.0,175000,30/06/2026,no,1879,65.84,30.18,82.48,32.3,62.18,69.33,0.34,0.31,52.78,3.54,0.24,0.06,0.53,56.7,4.65,0.57,27.08,4.6,0.0,56.07,4.69,5.13,0.1,0.1,0.0,0.0
M. Fondop-Talum,Oldham Athletic,Oldham Athletic,CF,CF,England League Two 2025-26,32.0,0,30/06/2027,no,2735,61.72,37.04,39.61,91.73,58.21,69.1,0.26,0.37,40.0,3.72,0.36,0.02,0.82,54.29,1.15,0.13,52.95,16.72,0.07,60.82,5.07,3.19,0.03,0.03,100.0,0.0
S. Humphrys,Bradford City,Bradford City,CF,"CF, AMF",England League One 2025-26,28.0,500000,30/06/2027,no,2265,66.24,39.33,62.85,58.39,40.62,68.97,0.28,0.41,35.9,4.17,0.36,0.07,0.6,50.5,4.01,0.2,37.08,10.61,0.04,60.38,3.26,2.11,0.12,0.12,33.33,0.04
J. March,Crewe Alexandra,Crewe Alexandra,CF,"CF, LAMF",England League Two 2025-26,29.0,100000,30/06/2027,no,2997,69.54,41.44,44.13,54.29,67.18,68.74,0.3,0.39,40.0,4.41,0.36,0.08,0.63,51.39,2.16,0.06,35.22,10.06,0.03,68.38,4.77,3.51,0.0,0.0,0.0,0.0
M. Mbick,Colchester United,Colchester United,CF,"CF, AMF",England League Two 2025-26,19.0,0,30/06/2028,yes,1605,66.6,46.64,54.04,39.6,62.43,67.5,0.39,0.36,42.11,3.7,0.39,0.09,0.73,62.5,2.69,0.06,29.23,7.29,0.0,56.04,4.77,5.1,0.06,0.06,0.0,0.0
R. Graydon,Salford City,Salford City,CF,CF,England League Two 2025-26,27.0,150000,30/06/2026,no,3561,61.99,46.46,46.6,70.75,44.86,67.11,0.28,0.38,34.88,3.92,0.38,0.08,0.81,41.57,2.25,0.28,44.36,9.63,0.1,57.76,3.66,2.93,0.0,0.0,0.0,0.0
S. Dalby,Bolton Wanderers,Bolton Wanderers,CF,"CF, AMF",England League One 2025-26,26.0,275000,30/06/2029,no,2480,69.84,44.43,29.73,84.35,32.81,66.74,0.36,0.34,52.63,3.74,0.44,0.08,0.58,54.55,0.4,0.0,48.8,12.12,0.15,53.85,3.45,1.89,0.0,0.0,0.0,0.0
Omar Bugiel,AFC Wimbledon,AFC Wimbledon,CF,CF,England League One 2025-26,32.0,200000,30/06/2026,no,2195,58.97,43.23,46.26,75.49,51.28,66.35,0.21,0.37,42.22,3.44,0.33,0.08,0.78,68.42,0.78,0.21,35.14,15.17,0.21,49.02,5.21,4.18,0.0,0.0,0.0,0.0
O. Kellyman,Cardiff City,Cardiff City,CF,"CF, AMF, RAMF",England League One 2025-26,20.0,0,30/06/2030,yes,1986,68.47,32.67,62.19,41.77,55.32,65.89,0.36,0.39,39.29,4.03,0.18,0.04,0.91,61.04,3.49,0.14,33.33,3.13,0.05,54.22,5.3,3.76,0.14,0.0,0.0,0.73
B. Radulović,Huddersfield Town,Huddersfield Town,CF,CF,England League One 2025-26,26.0,1000000,30/06/2027,no,1677,76.88,56.12,26.65,61.52,19.71,65.76,0.43,0.43,54.29,3.49,0.54,0.09,0.81,41.67,0.64,0.05,33.69,10.04,0.16,41.51,2.68,2.84,0.0,0.0,0.0,0.0
E. Tezgel,Crewe Alexandra,Crewe Alexandra,CF,"CF, AMF",England League Two 2025-26,20.0,0,30/06/2027,yes,1775,82.26,29.92,34.87,53.48,48.0,65.6,0.41,0.57,45.1,3.75,0.25,0.05,0.56,55.0,1.01,0.0,28.88,9.48,0.15,65.91,3.3,2.23,0.0,0.0,0.0,0.0
M. Mellon,Oldham Athletic,Oldham Athletic,CF,CF,England League Two 2025-26,22.0,0,31/05/2026,yes,1217,92.39,28.93,32.29,50.03,23.5,65.35,0.44,0.6,43.64,4.81,0.22,0.06,0.52,34.78,1.7,0.07,35.0,5.92,0.07,57.14,1.55,1.55,0.37,0.37,20.0,0.0
B. Ihionvien,Shrewsbury Town,Shrewsbury Town,CF,CF,England League Two 2025-26,22.0,0,30/06/2027,no,492,62.67,51.98,53.66,44.86,42.06,64.56,0.37,0.37,35.0,3.66,0.55,0.07,0.73,50.0,3.66,0.0,30.19,9.7,0.0,60.0,2.93,2.74,0.0,0.0,0.0,0.0
J. Norwood,Fleetwood Town,Fleetwood Town,CF,CF,England League Two 2025-26,35.0,0,30/06/2026,no,679,62.59,42.32,44.75,55.31,62.6,64.34,0.13,0.46,43.75,3.45,0.13,0.06,1.33,80.0,0.66,0.0,38.57,9.28,0.0,66.67,3.84,3.98,0.0,0.0,0.0,0.0
T. Shade,Burton Albion,Burton Albion,CF,CF,England League One 2025-26,25.0,200000,30/06/2027,no,2762,73.01,39.01,68.27,19.9,32.87,63.27,0.29,0.35,51.32,4.5,0.36,0.06,0.65,58.4,4.07,0.23,19.78,2.97,0.0,57.14,2.64,2.05,0.07,0.07,50.0,0.16
S. Nombe,Rotherham United,Rotherham United,CF,CF,England League One 2025-26,27.0,600000,30/06/2027,no,2074,71.04,29.55,55.67,55.01,29.86,63.02,0.3,0.39,57.69,3.43,0.39,0.05,0.22,43.48,2.99,0.35,34.13,10.94,0.04,46.05,3.04,3.3,0.0,0.0,0.0,0.0
A. Pepple,Plymouth Argyle,Plymouth Argyle,CF,CF,England League One 2025-26,23.0,0,,no,2063,76.44,30.97,54.52,44.58,25.76,62.97,0.52,0.48,41.38,3.45,0.26,0.08,0.39,55.36,2.44,0.26,24.37,8.59,0.13,50.0,2.44,2.44,0.0,0.0,0.0,0.0
D. Kanu,Walsall,Walsall,CF,CF,England League Two 2025-26,21.0,0,30/06/2027,yes,3067,74.96,8.28,65.66,43.66,54.88,62.87,0.44,0.41,46.99,3.84,0.09,0.02,0.15,66.32,2.79,0.35,35.85,3.11,0.03,71.43,3.14,2.46,0.03,0.0,0.0,0.0
P. Omochere,Bristol Rovers,Bristol Rovers,CF,"CF, RW, RWF",England League Two 2025-26,25.0,225000,30/06/2027,no,859,53.86,39.56,57.05,73.72,37.63,62.75,0.0,0.54,23.81,3.56,0.42,0.03,0.73,40.54,3.88,0.21,43.13,16.76,0.0,61.11,2.83,1.89,0.0,0.0,0.0,0.0
N. Kabamba,Bromley,Bromley,CF,CF,England League Two 2025-26,33.0,0,30/06/2027,no,2157,84.08,20.51,27.64,66.33,38.61,62.53,0.54,0.42,63.83,3.38,0.17,0.01,0.58,43.75,0.67,0.04,36.46,12.02,0.13,61.36,3.0,1.84,0.08,0.08,0.0,0.0
M. Burstow,Bolton Wanderers,Bolton Wanderers,CF,"CF, AMF",England League One 2025-26,22.0,0,30/06/2028,yes,2527,59.42,65.25,46.1,43.64,32.07,62.44,0.36,0.36,31.34,3.6,0.61,0.11,0.93,58.7,1.64,0.14,29.02,6.87,0.07,41.38,3.49,4.13,0.07,0.07,0.0,0.0
J. Obikwu,Queens Park Rangers,Lincoln City,CF,CF,England League One 2025-26,21.0,0,30/06/2026,no,603,57.89,45.85,52.33,47.26,54.6,61.77,0.45,0.21,45.45,3.28,0.45,0.06,0.75,47.06,2.54,0.3,27.08,7.16,0.15,55.56,4.63,4.03,0.0,0.0,0.0,0.0
M. Cheek,Bromley,Bromley,CF,CF,England League Two 2025-26,34.0,0,30/06/2026,no,3146,72.81,42.39,27.87,68.94,24.35,61.52,0.34,0.45,48.65,3.58,0.29,0.09,0.77,45.45,0.63,0.03,38.38,13.79,0.09,51.61,2.57,1.77,0.0,0.0,0.0,0.0
D. Osong,Fleetwood Town,Fleetwood Town,CF,CF,England League Two 2025-26,21.0,0,30/06/2026,yes,482,66.09,25.49,62.76,40.98,53.04,61.38,0.37,0.34,33.33,4.48,0.19,0.07,0.37,47.37,3.55,0.37,28.89,8.4,0.0,72.73,2.99,2.05,0.0,0.0,0.0,0.0
L. Ndlovu,Barnet,Barnet,CF,CF,England League Two 2025-26,31.0,0,,no,926,73.77,42.61,43.33,46.03,22.3,61.21,0.29,0.51,39.13,4.08,0.29,0.09,0.78,52.17,2.24,0.0,27.07,12.93,0.0,38.24,3.3,3.3,0.0,0.0,0.0,0.0
J. Kabia,Grimsby Town,Grimsby Town,CF,"CF, LW",England League Two 2025-26,25.0,0,30/06/2027,no,2952,72.72,36.32,42.4,31.97,56.55,60.32,0.34,0.42,48.33,3.84,0.34,0.05,0.64,45.61,1.74,0.21,20.43,7.16,0.06,57.89,4.48,4.05,0.0,0.0,0.0,0.0
A. Fletcher,Blackpool,Blackpool,CF,CF,England League One 2025-26,30.0,500000,30/06/2026,no,3393,57.22,47.7,47.69,53.51,42.33,59.81,0.37,0.32,45.0,2.68,0.4,0.1,0.69,65.79,1.01,0.24,37.21,7.98,0.03,57.28,3.53,2.73,0.0,0.0,0.0,0.0
Tanto Olaofe,Stockport County,Stockport County,CF,"CF, AMF",England League One 2025-26,26.0,450000,30/06/2028,yes,632,55.47,61.18,40.18,66.36,16.09,59.6,0.14,0.31,41.67,3.84,0.71,0.08,0.71,37.5,1.14,0.43,42.55,6.69,0.14,41.18,2.56,2.42,0.0,0.0,0.0,0.0
C. Paterson,Milton Keynes Dons,Milton Keynes Dons,CF,CF,England League Two 2025-26,31.0,800000,,no,2909,63.92,42.39,33.86,68.39,33.04,59.49,0.37,0.36,50.0,2.91,0.34,0.1,0.59,48.39,0.96,0.09,40.3,14.51,0.03,49.46,3.34,2.88,0.12,0.12,25.0,0.0
A. Loupalo-Bi,Walsall,Walsall,CF,"CF, RWF, RW",England League Two 2025-26,20.0,0,30/06/2028,yes,514,39.14,42.17,53.29,55.82,100.0,59.45,0.18,0.22,25.0,3.33,0.35,0.05,0.88,38.1,3.68,0.18,34.48,5.08,0.18,62.79,7.35,7.53,0.0,0.0,0.0,0.0
K. Ehibhatiomhan,Reading,Reading,CF,CF,England League One 2025-26,22.0,500000,30/06/2027,no,2240,61.4,37.35,33.5,69.09,49.7,59.15,0.36,0.29,48.72,3.29,0.44,0.04,0.52,41.03,1.57,0.04,37.68,11.41,0.16,56.52,3.94,3.7,0.0,0.0,0.0,0.04
D. Udoh,Salford City,Salford City,CF,CF,England League Two 2025-26,29.0,300000,30/06/2027,no,2844,55.37,57.02,43.72,44.18,48.28,59.12,0.22,0.31,43.14,3.35,0.51,0.09,0.92,59.52,1.33,0.13,25.47,11.8,0.03,63.64,3.23,2.78,0.0,0.0,0.0,0.0
C. Robinson,Cardiff City,Cardiff City,CF,"CF, AMF",England League One 2025-26,31.0,1800000,30/06/2027,no,1239,79.72,35.76,39.22,21.48,47.05,58.84,0.51,0.42,51.22,3.78,0.29,0.05,0.73,50.0,1.6,0.07,22.22,1.96,0.0,71.43,2.76,1.53,0.07,0.07,100.0,0.0
D. McGoldrick,Barnsley,Barnsley,CF,"CF, AMF, LAMF",England League One 2025-26,38.0,100000,30/06/2026,no,2502,71.11,35.52,46.51,31.25,46.57,58.5,0.54,0.42,36.78,3.45,0.32,0.05,0.65,49.3,2.55,0.07,24.28,6.22,0.0,55.0,3.81,3.6,0.04,0.04,0.0,0.07
I. Morgan,Shrewsbury Town,Shrewsbury Town,CF,"CF, LW, AMF",England League Two 2025-26,20.0,0,30/06/2027,yes,1321,35.08,51.82,77.16,44.93,56.49,58.18,0.2,0.18,35.56,2.32,0.34,0.13,0.82,46.58,4.97,0.48,38.3,3.2,0.0,60.0,4.36,3.75,0.61,0.2,66.67,0.82
S. Vokes,Gillingham,Gillingham,CF,CF,England League Two 2025-26,36.0,125000,30/06/2026,no,1120,59.98,57.48,14.07,100.0,1.39,58.14,0.16,0.3,45.45,4.18,0.4,0.1,1.13,25.0,0.32,0.0,55.14,19.53,0.08,38.46,2.01,1.04,0.0,0.0,0.0,0.0
R. Street,Lincoln City,Lincoln City,CF,"CF, RAMF, RW",England League One 2025-26,24.0,250000,30/06/2028,no,3058,52.36,44.65,42.14,51.46,69.03,57.91,0.18,0.35,37.5,3.18,0.47,0.06,0.65,53.85,1.53,0.12,33.42,11.1,0.0,65.1,4.83,4.39,0.0,0.0,0.0,0.03
M. Dennis,Notts County,Notts County,CF,"CF, AMF",England League Two 2025-26,23.0,125000,30/06/2028,no,2532,72.26,29.83,59.48,29.34,27.19,57.84,0.43,0.44,55.0,2.74,0.21,0.09,0.39,51.56,2.27,0.53,16.76,6.36,0.11,45.68,3.09,2.88,0.07,0.07,0.0,0.0
K. Dennis,Tranmere Rovers,Tranmere Rovers,CF,"CF, AMF",England League Two 2025-26,36.0,100000,30/06/2026,no,970,72.44,45.84,32.91,31.49,40.57,57.14,0.28,0.5,46.67,3.53,0.56,0.05,0.56,50.0,0.74,0.09,26.53,4.55,0.0,63.16,3.06,1.76,0.0,0.0,0.0,0.65
