Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Goal Threat Att,Creativity Att,Dribbling Att,Aerial Att,Defending Att,ST Rating,Non-penalty goals per 90,xG per 90,"Shots on target, %",Touches in box per 90,Key passes per 90,xA per 90,Deep completions per 90,"Successful dribbles, %",Dribbles per 90,Accelerations per 90,"Aerial duels won, %",Aerial duels per 90,Head goals per 90,"Defensive duels won, %",Successful defensive actions per 90,Defensive duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
N. Ennis,Blackpool,Blackpool,CF,CF,England League One 2025-26,26.0,700000,30/06/2027,no,1249,60.08,29.81,41.37,21.5,39.55,43.72,0.43,0.33,40.0,3.03,0.36,0.03,0.43,57.89,1.37,0.07,15.38,7.49,0.0,51.16,3.89,3.1,0.0,0.0,0.0,0.0
R. Loft,Crawley Town,Crawley Town,CF,CF,England League Two 2025-26,28.0,175000,30/06/2027,yes,1103,55.38,16.56,34.32,68.62,24.61,43.48,0.24,0.47,30.43,2.77,0.16,0.0,0.49,50.0,0.65,0.16,39.02,10.04,0.16,48.15,2.86,2.2,0.0,0.0,0.0,0.0
J. Williams,Colchester United,Colchester United,CF,"CF, AMF, LAMF",England League Two 2025-26,21.0,0,30/06/2027,no,842,22.14,76.59,65.85,19.05,31.44,43.35,0.0,0.18,25.0,2.24,0.64,0.09,1.5,47.83,2.46,0.75,16.33,5.24,0.0,40.0,4.06,3.74,0.0,0.0,0.0,0.11
D. Costelloe,Wigan Athletic,Wigan Athletic,CF,"CF, AMF",England League One 2025-26,23.0,325000,30/06/2028,no,2000,52.77,29.05,31.33,33.74,65.72,43.24,0.14,0.4,40.0,2.84,0.27,0.06,0.41,32.5,1.8,0.05,21.86,9.68,0.0,55.46,5.18,5.36,0.0,0.0,0.0,0.0
T. Samuel-Ogunsuyi,Shrewsbury Town,Shrewsbury Town,CF,"CF, LW",England League Two 2025-26,19.0,0,30/06/2026,yes,712,42.43,14.61,31.63,67.74,78.65,43.15,0.25,0.3,40.0,1.77,0.25,0.01,0.13,42.86,0.88,0.13,38.64,11.12,0.13,63.64,5.56,5.56,0.0,0.0,0.0,0.0
J. Davison,Cheltenham Town,Cheltenham Town,CF,CF,England League Two 2025-26,26.0,225000,30/06/2026,yes,1841,35.24,51.1,41.6,46.44,40.37,42.69,0.15,0.22,29.63,2.64,0.44,0.08,0.88,66.67,0.73,0.1,27.04,13.2,0.0,50.0,3.62,3.72,0.0,0.0,0.0,0.0
J. Taylor,Wigan Athletic,Wigan Athletic,CF,CF,England League One 2025-26,23.0,350000,30/06/2029,yes,2155,73.74,8.83,47.0,27.34,5.89,42.31,0.5,0.38,64.71,2.46,0.04,0.02,0.29,54.29,1.46,0.29,19.42,4.3,0.08,35.19,2.17,2.26,0.04,0.04,0.0,0.0
R. Paton,St. Johnstone,Port Vale,CF,"CF, AMF",England League One 2025-26,25.0,250000,30/06/2027,yes,756,34.85,53.27,42.53,30.85,50.82,41.23,0.12,0.27,30.43,2.26,0.36,0.15,0.71,60.0,1.19,0.12,28.0,2.98,0.0,62.5,3.81,2.86,1.9,0.36,0.0,4.52
A. Lloyd,Lincoln City,Lincoln City,CF,CF,England League One 2025-26,22.0,0,31/05/2026,no,509,49.46,14.48,43.95,47.81,45.22,40.55,0.18,0.34,25.0,3.71,0.18,0.0,0.35,41.18,3.01,0.0,28.0,13.26,0.0,42.86,4.6,4.95,0.0,0.0,0.0,0.0
P. Mullin,Bradford City,Bradford City,CF,CF,England League One 2025-26,31.0,900000,30/06/2027,yes,1080,53.24,24.62,41.2,27.31,47.96,40.55,0.33,0.33,50.0,1.92,0.25,0.01,0.58,61.54,1.08,0.08,16.67,6.5,0.08,57.5,3.83,3.33,0.0,0.0,0.0,0.0
